period,ABBV,ABM,ABT,ADM,AWR,BDX,BKH,CBSH,CDUAF,CINF,CL,CWT,DOV,ED,EMR,FMCB,FRT,FUL,GPC,GRC,GWW,HRL,HTO,ITW,JNJ,KMB,KO,LOW,MO,MSA,MSEX,NDSN,NFG,NUE,NWN,PEP,PG,PH,PPG,RPM,SCL,SPGI,SWK,SYY,TGT,TNC,TR,UBSI,UVV,WMT
2012-01-31 00:00:00+00:00,,16.3686299251,19.927573241,19.7232219884,13.5766984132,61.3985769815,21.0727635187,15.1331818927,33.2788813282,21.677878697,33.2071205385,13.5930142492,33.2578931482,35.3351284984,35.3497787377,272.963604603,58.825041801,24.3752513345,43.4030862499,18.8456153422,153.0968437436,10.6847791224,17.3029557086,38.5318454994,44.8182898868,43.6982084024,22.2361253833,21.0548123061,12.4056178899,26.4554295238,13.6460989478,39.3414593618,33.0667916574,31.3561562914,29.0521594594,44.1181347197,42.7487248828,64.0039659286,35.521421821,18.5862180702,34.5107853241,37.4755333005,50.4748203496,20.701115511,34.7108533593,32.1579577942,14.8507559075,16.1356415915,22.8544262306,15.4855223968
2012-02-29 00:00:00+00:00,,17.1229446682,20.8328701971,21.6144474368,13.9417160792,59.6837079139,20.7201435921,15.0513176939,34.5198592078,23.3295897727,34.1075781721,14.2717013398,33.740530186,35.1834948763,34.8852507785,265.4851496824,59.3792900246,25.7264493335,42.6545225172,17.3851227125,167.2798295097,10.5696894238,17.576648332,40.4646139141,44.6452199361,44.5042681438,23.0033425038,22.2711730618,13.1482076931,28.7779456817,13.4374445862,47.8068759599,33.0996743062,30.6795568299,27.9646127961,42.6300630217,45.8545173949,71.5620340399,36.4129477294,17.724851192,35.2224949739,38.1257841873,55.2360530472,20.2267292704,38.9496688647,34.4337517304,14.2442275103,16.9458961908,23.3942143724,14.9101151109
2012-03-30 00:00:00+00:00,,18.3298482571,22.555142455,21.9331219824,13.6693873875,61.166107508,21.1554937468,15.8912478524,37.0115603185,23.1542176032,35.7913607391,13.5287705048,33.1713366121,35.3772766036,36.1819198096,261.745922222,60.7081151402,28.0318397484,43.0421546659,17.5718005109,172.981178342,10.9595093709,17.7458667965,41.7668489544,45.2489045326,45.5884050246,24.5467649722,24.6254196857,13.6682338849,32.0726535161,13.780310979,47.4068184205,31.881537097,30.5304450618,27.7385497257,44.9396994199,45.5764879342,67.3707825195,38.2286070409,19.4475849484,35.3715550578,39.7068491525,55.6513525597,20.5292364383,40.035230283,36.9172776836,14.5086315334,16.880631423,23.7303088758,15.5478607618
2012-04-30 00:00:00+00:00,,17.6662770133,23.0337414024,21.3581222589,13.7828576757,61.7962798971,20.8274037752,15.72260924,39.4747048546,23.9190917866,36.4430490937,13.4544774213,33.0237679077,36.0010115386,36.4315459332,265.4851496824,63.1354362022,28.1658562308,44.4345940917,17.3429696612,167.352304283,10.845834484,17.7311521474,41.9569641632,44.6589400405,48.4141581037,25.3129185607,24.8071475533,14.2615423853,33.1500698222,13.539575001,46.8763073356,31.3515032301,27.8719150378,28.1969818535,44.7026399656,43.5181842827,69.8727843777,41.9956013046,19.8961710476,36.6043222387,40.2802924041,52.903494715,20.0500936791,39.8084991007,37.1689863951,15.0785908691,15.4592892762,23.5862619044,14.9660862332
2012-05-31 00:00:00+00:00,,16.2927391527,22.9335301523,22.2045635163,14.0204304754,57.6056335102,20.5366636285,15.1931624334,36.8223030206,24.207596961,36.207314796,13.0498463507,29.9692505517,36.9267649979,32.6999509882,265.4851496824,61.6426651098,26.0255935993,43.2136373538,16.9251854889,156.557923644,11.1630732766,17.1388890905,41.057572983,43.2413260105,48.95709756,24.7855660907,21.0628211828,14.2526870345,32.2871863156,13.4265761538,46.732424511,28.6417050853,25.4195277162,28.5980330177,46.3177495981,42.5950298392,65.4444598375,41.5059694992,19.7389186607,36.5216786679,35.7395541632,47.9067321606,19.36325656,40.0052281465,35.5488871711,14.153990169,14.9855085606,23.2465950299,16.834172612
2012-06-29 00:00:00+00:00,,14.8433152225,23.9282195973,20.5608128921,15.0836813866,59.2460496565,20.5302818188,14.9562250132,36.3950742684,25.8219943888,38.3436568694,13.8443803617,28.4061443082,38.0463140361,32.5671096222,284.5785799016,65.7320959449,26.282425115,41.663460341,18.0068021267,154.6095394664,11.3534165521,17.7986473643,38.9436904036,46.7945536644,52.1608420826,26.110215391,22.4186614686,15.4861373157,31.6269809479,14.0013692053,44.7100550861,31.366990631,27.2088769233,29.3692852566,48.2359939071,41.8838590087,61.5533407426,42.5813368451,20.3679282083,38.0572216966,37.0742263103,46.8474521025,20.6814288088,40.1986569823,33.6535081157,15.1635777478,15.3295148185,23.8435852941,17.8316395398
2012-07-31 00:00:00+00:00,,14.2210730919,24.8037102357,18.171802451,15.4914514494,60.0069353778,20.3260639083,15.5402675731,38.479144276,25.6659907452,39.7804009764,13.8443803617,28.8618295182,39.4595152811,33.3991160724,273.1954367055,68.6180184972,25.0856808147,44.2773670645,16.7741217127,165.5964859282,10.4711854261,17.294562391,40.0113468809,47.9443310339,54.1160174931,26.9817803247,20.1228111944,16.1226153183,26.9741050231,13.7802949547,44.6839037573,32.6756177411,28.1421629391,30.3144790212,49.6490777932,44.5162662859,64.307548497,43.9215334627,20.0074683597,35.8266434022,38.6890148341,48.689031559,20.5766008604,41.8980674682,35.1024201047,15.557601981,13.8013019811,23.6825067929,19.0362726757
2012-08-31 00:00:00+00:00,,15.4596826838,24.5156864553,18.7577739543,16.7422657805,60.2209344869,22.0815871615,15.8756974216,39.5310836892,26.2221776483,39.3913415406,13.8290187317,30.8178748316,37.4403364077,35.7369764642,280.7841988362,68.1443988223,26.1073084728,43.6757536123,16.7020308751,167.1613958375,10.7750786613,17.4656738188,43.6561052,47.1259568883,52.0549886368,24.9781827759,22.589580718,15.2216851879,27.6245115984,13.9518887403,51.394844796,33.3165779584,27.0293988433,30.6133278594,49.4442830271,46.3440956268,64.3571553122,44.3806559503,20.6945172732,38.7097552359,42.399226363,47.8810658686,21.2137123535,44.529459081,35.4801433168,16.1232174125,14.4114024549,24.6653776282,18.6675559174
2012-09-28 00:00:00+00:00,,14.4733824532,25.6453381656,19.059300788,17.0688129561,62.6321322468,22.9661419689,16.0056315003,38.3144045296,25.9509960165,39.7285263849,14.1012137422,31.7134643441,36.9894712546,34.010722672,276.9898177709,66.9514849247,26.3391063448,42.5447430706,16.3745400737,169.1174016831,10.9701706148,18.9448027393,44.0723050764,48.1603097904,53.8909164694,25.5041809352,23.9855660433,15.163949098,29.5258258467,14.2569700407,51.167627322,36.3309937412,27.7305328606,30.6569099816,48.6740599979,47.8408464455,67.2539515003,46.3249820881,21.547665924,38.9529069648,45.2065188898,55.9138347892,21.8928311979,44.0986857212,36.215965121,17.1970634626,14.9423378649,26.4803084298,18.9761105606
2012-10-31 00:00:00+00:00,,14.6374748455,24.6807208582,18.8208842218,16.9113019655,60.3360459323,23.0952740576,15.1126815654,37.6029374435,27.300968611,39.1149249002,13.9273113744,31.0364413197,37.2921067683,34.1234576136,276.9898177709,68.5601008493,26.1736184199,43.6252666125,16.3745400737,163.4685217306,11.1353056519,18.108123754,45.4507225548,49.4951841439,52.4271039797,24.9998799676,25.8085847189,14.4418562838,30.5794708259,14.3909081726,51.5871057356,35.4301141777,29.0858934578,28.9696592495,47.6217594214,48.1444312006,63.2949967099,47.2285693389,20.3009277317,38.8232260427,45.7779147138,50.8174262412,21.9386692827,44.2932285288,31.6487953019,16.9867213224,14.2765010511,26.0151739875,19.2898077813
